customer,weight,coord_x,coord_y,id_cust,fid
1164,1189.0,683861.72591274,5385061.79565943,1242,2840
1173,92.5,683861.72591274,5340061.79565943,1251,2849
1190,10.0,688861.72591274,5515061.79565943,1272,2882
1217,675.0,688861.72591274,5360061.79565943,1303,2913
1233,880.0,693861.72591274,5535061.79565943,1324,2946
1241,10005.5,693861.72591274,5480061.79565943,1335,2957
1250,14.0,693861.72591274,5420061.79565943,1347,2969
1268,6417.5,693861.72591274,5330061.79565943,1365,2987
1270,46.0,698861.72591274,5575061.79565943,1374,3006
1273,2436.0,698861.72591274,5550061.79565943,1379,3011
1297,1427.5,698861.72591274,5400061.79565943,1409,3041
1323,603.5,703861.72591274,5520061.79565943,1442,3085
1328,591.5,703861.72591274,5490061.79565943,1448,3091
1336,11.0,703861.72591274,5440061.79565943,1458,3101
1347,8728.0,703861.72591274,5370061.79565943,1472,3115
1349,139.0,703861.72591274,5360061.79565943,1474,3117
1361,167.0,708861.72591274,5545061.79565943,1499,3148
1369,65.0,708861.72591274,5505061.79565943,1507,3156
1375,166.0,708861.72591274,5470061.79565943,1514,3163
1378,145.5,708861.72591274,5455061.79565943,1517,3166
1387,5797.5,708861.72591274,5385061.79565943,1531,3180
1395,10.0,708861.72591274,5340061.79565943,1540,3189
1396,4932.5,708861.72591274,5335061.79565943,1541,3190
1409,10.0,713861.72591274,5495061.79565943,1569,3226
1420,16.5,713861.72591274,5425061.79565943,1583,3240
1427,6801.0,713861.72591274,5375061.79565943,1593,3250
1434,1021.0,713861.72591274,5335061.79565943,1601,3258
1464,132.0,718861.72591274,5410061.79565943,1645,3311
1467,19135.5,718861.72591274,5395061.79565943,1648,3314
1474,1239.5,718861.72591274,5360061.79565943,1655,3321
1480,679.5,723861.72591274,5615061.79565943,1664,3338
1481,328.5,723861.72591274,5600061.79565943,1667,3341
1489,1987.5,723861.72591274,5550061.79565943,1677,3351
1497,1179.0,723861.72591274,5460061.79565943,1695,3369
1501,934.5,723861.72591274,5440061.79565943,1699,3373
1519,7435.0,723861.72591274,5340061.79565943,1719,3393
1536,402.5,728861.72591274,5525061.79565943,1742,3424
1540,197.0,728861.72591274,5480061.79565943,1751,3433
1558,9003.5,728861.72591274,5385061.79565943,1770,3452
1562,2200.0,728861.72591274,5365061.79565943,1774,3456
1565,3163.5,728861.72591274,5350061.79565943,1777,3459
1570,1672.5,733861.72591274,5610061.79565943,1785,3475
1572,2019.0,733861.72591274,5600061.79565943,1787,3477
1576,303.0,733861.72591274,5580061.79565943,1791,3481
1579,428.0,733861.72591274,5565061.79565943,1794,3484
1586,171.0,733861.72591274,5505061.79565943,1806,3496
1589,407.5,733861.72591274,5490061.79565943,1809,3499
1617,10107.0,738861.72591274,5605061.79565943,1844,3544
1627,2903.5,738861.72591274,5525061.79565943,1860,3560
1666,239.5,743861.72591274,5555061.79565943,1910,3622
1675,612.5,743861.72591274,5460061.79565943,1929,3641
1685,5858.5,743861.72591274,5405061.79565943,1940,3652
1693,3025.5,743861.72591274,5365061.79565943,1948,3660
1697,110.0,748861.72591274,5590061.79565943,1956,3683
1704,134.5,748861.72591274,5535061.79565943,1967,3694
1708,8.5,748861.72591274,5500061.79565943,1974,3701
1728,21118.5,748861.72591274,5380061.79565943,1998,3725
1734,10.0,753861.72591274,5565061.79565943,2008,3756
1739,81.0,753861.72591274,5525061.79565943,2016,3764
1741,9.0,753861.72591274,5490061.79565943,2023,3771
1755,633.5,753861.72591274,5415061.79565943,2038,3786
1762,144.0,758861.72591274,5585061.79565943,2049,3820
1768,1.0,758861.72591274,5505061.79565943,2065,3836
1772,96.0,758861.72591274,5470061.79565943,2072,3843
1787,218.0,758861.72591274,5395061.79565943,2087,3858
1796,7.0,763861.72591274,5515061.79565943,2106,3902
1815,47.0,763861.72591274,5395061.79565943,2130,3926
1821,633.0,768861.72591274,5505061.79565943,2147,3972
1822,370.5,768861.72591274,5500061.79565943,2148,3973
1825,379.0,768861.72591274,5480061.79565943,2152,3977
1831,3.5,768861.72591274,5440061.79565943,2160,3985
1858,171.0,773861.72591274,5420061.79565943,2197,4057
1862,15547.5,773861.72591274,5400061.79565943,2201,4061
1866,13.0,778861.72591274,5495061.79565943,2210,4110
1872,684.5,778861.72591274,5455061.79565943,2218,4118
1905,205.5,788861.72591274,5475061.79565943,2258,4250
1908,814.0,788861.72591274,5455061.79565943,2262,4254
1919,65479.5,788861.72591274,5400061.79565943,2273,4265
1934,355.5,798861.72591274,5495061.79565943,2292,4382
1944,4331.5,798861.72591274,5425061.79565943,2306,4396
1946,51462.5,798861.72591274,5415061.79565943,2308,4398
1958,55409.0,803861.72591274,5420061.79565943,2323,4465
1961,913.0,808861.72591274,5475061.79565943,2327,4522
1966,179.5,808861.72591274,5450061.79565943,2332,4527
1971,26467.0,808861.72591274,5425061.79565943,2337,4532
1979,1784.0,813861.72591274,5440061.79565943,2348,4597
1988,135.5,818861.72591274,5455061.79565943,2358,4662
1993,3136.5,818861.72591274,5430061.79565943,2363,4667
