fid,idcar_1km,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc,codearondo
"6319",CRS3035RES1000mN2292000E3951000,"0","13080",54,23.2,1,5.1,0,21.9,0,1948915.7,3358.2,2,21.2,0,1.3,12.9,9,0,0,0,0,0.9,3.1,4.2,4.2,7.9,11.8,16.8,5.1,0,"113"
"6320",CRS3035RES1000mN2292000E3952000,"0","13080",54,21.3,3.1,3.1,1.1,19.2,1.1,1620368.9,2194.8,1.1,20.2,1.1,1.9,14.9,2.3,1.1,0,0.7,0,1.1,4,5.3,5.3,9.8,13.9,12.8,1.1,0,"113"
"6321",CRS3035RES1000mN2292000E3953000,"0","13080",76,27.9,3.9,7.1,2.1,22.8,3.2,2229514.3,3634,0.9,27,9.9,3.2,5.8,5.8,3.2,0,1.9,0,6,6.1,8,7.1,19,11,15,1.9,0,"113"
"6322",CRS3035RES1000mN2292000E3954000,"1","13080",17.5,8.8,1.7,2.7,0.3,4.9,0.9,439745.8,900,2.7,6.1,4.4,0.8,1.5,1.2,0.9,0,0.3,0,0.8,0.6,1.7,3.2,2.6,3.9,4.1,0.3,0,"113"
"6323",CRS3035RES1000mN2292000E3955000,"1","1308013059",3,1.5,0.3,0.5,0,0.9,0.1,75385,154.3,0.5,1,0.8,0.1,0.3,0.2,0.1,0,0,0,0.2,0.1,0.3,0.6,0.5,0.6,0.7,0,0,"113"
"6324",CRS3035RES1000mN2292000E3956000,"1","13059",10,4.8,0.8,1.8,0.4,1.8,0.4,264713.8,466.6,1.8,3,0.8,0.8,1.8,1.4,0,0,0,0.4,0.8,0.4,1,2.2,2.6,1.4,0.8,0.4,0,"113"
"6325",CRS3035RES1000mN2292000E3957000,"0","13059",122.5,48,6,13.9,5,39,3,3907285.1,5929,14.9,33.1,0.9,1,13.1,29.9,3.1,0,3.1,1.9,5.4,15,13,16,32,19.1,15,2,0,"113"
"6326",CRS3035RES1000mN2292000E3958000,"1","13059",137.5,56.4,5.6,17.5,2.8,43.9,5.6,3655474.4,6089.2,3.7,52.7,5.4,10.9,16.5,23.6,0,0,4.4,3.8,13.3,9.3,3.8,28.1,16.5,29,23.7,5.6,0,"113"
"6327",CRS3035RES1000mN2292000E3959000,"0","13059",248.5,113.1,17.9,37.9,6.9,69.2,8.9,5877495.7,9531.1,46,67.1,21,31.4,10.8,40.9,9,0,12,8.9,13.5,20,11,51.1,46.7,38.3,29.9,17.1,0,"113"
"6328",CRS3035RES1000mN2292000E3960000,"0","1305913074",67.5,28.2,5.2,4.2,2.2,12.2,3.1,1543332,2725,13.1,15.1,13.3,3.8,5.1,6,0,0,1.8,0,3.5,7.1,8,9,12.2,14.9,10.2,0.8,0,"113"
"6329",CRS3035RES1000mN2292000E3961000,"1","1307413059",28,8.9,1.1,2.7,2.7,4.5,0.5,577218.2,897.1,1.8,7.1,2.7,1.8,0.5,3.2,0.7,0,1.8,1.1,1.7,6.6,1.8,3.1,6.6,1.3,3.3,0.7,0,"113"
"6330",CRS3035RES1000mN2292000E3962000,"1","13074",6,2.9,1.1,1.2,0.1,1.4,0.5,103742.4,251.2,1,1.9,0.7,1,0.1,1,0.1,0,0.1,0.3,0.5,0.6,0.1,1.3,1.3,0.5,0.8,0.5,0,"113"
"6331",CRS3035RES1000mN2292000E3963000,"0","13074",1422,582,77.1,179.1,34.8,296.1,95.8,31241514.9,43540,331,251,132.2,63.8,27.9,351,7.1,63,70.5,46.6,109.1,150.3,117.7,293,358.8,122.9,105,48.1,0,"113"
"6332",CRS3035RES1000mN2292000E3964000,"0","13074",1295,572,74,199,38,352,76,29430611.1,46185,273,299,126.9,73.1,75,287,10,5,47,34.4,81.4,120,96.4,211,295,151.5,163.1,95.2,0,"113"
"6333",CRS3035RES1000mN2292000E3965000,"1","1307413048",405.5,166.4,12.6,33.6,3.8,144.5,16.5,10705844.6,17308.8,9.7,156.7,4.1,7.7,95.2,54.4,5,0,12.7,3.4,11.5,34.4,29.7,54.1,88.3,80.5,65.1,25.8,0,"113"
"6334",CRS3035RES1000mN2292000E3966000,"0","1304813074",54,24.1,7,7,0,21.1,2.9,1018252.6,1841,2.1,22,4.2,13.9,6,0,0,0,3.1,1.1,2.1,4.9,4,7,10.8,5,10.8,5.2,0,"113"
"6335",CRS3035RES1000mN2292000E3967000,"1","13048",27.5,10.2,1.1,2.2,2.2,5.5,1.1,752671.3,1174.3,2.1,8.1,1.1,4.3,2.7,2.1,0,0,1.1,0.2,0,1.8,5,3.2,7.6,4.3,2.7,1.6,0,"113"
"6336",CRS3035RES1000mN2292000E3968000,"1","13048",2,0.7,0.1,0.1,0.1,0.6,0,52111,72.2,0,0.7,0.1,0.1,0.3,0.2,0,0,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.2,0,0,"113"
"6337",CRS3035RES1000mN2292000E3969000,"0","13048",56,25,3,5.8,0,19,1,1497444.6,2253.9,0,25,8.9,6.9,2.2,7,0,0,1,0,0,7,4.9,5.1,17.9,8,8,4.1,0,"113"
"6338",CRS3035RES1000mN2292000E3970000,"0","13048",79,32,5,8,2.1,26,0,2225209.8,3937.1,0,32,6,0,10,16,0,0,1.8,0,7,8.1,4,7,19,18.9,11,2.2,0,"113"
"6339",CRS3035RES1000mN2292000E3971000,"1","13048",7,3.6,0.8,1.6,0,2.8,0,177733.9,316.6,0,3.6,0.3,1.5,1.4,0.4,0,0,0,0.2,0.3,0,0.6,1,1.4,1.4,1.5,0.6,0,"113"
"6340",CRS3035RES1000mN2292000E3981000,"1","831048306613099",1,0.4,0.1,0.1,0,0.3,0,25353.6,34.8,0.1,0.3,0.2,0,0.2,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0,0,"113"
"6341",CRS3035RES1000mN2292000E3981000,"1","831048306613099",1,0.4,0.1,0.1,0,0.3,0,25353.6,34.8,0.1,0.3,0.2,0,0.2,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0,0,"383"
"6342",CRS3035RES1000mN2292000E3984000,"1","83066",12,5.1,0.8,1.3,0.3,4,0.8,268512.3,466.7,1.1,4,0.3,1,0.3,3.2,0.3,0,1.6,0.8,0.8,0.8,0,2.1,2.4,1.1,1.6,0.8,0,"383"
"6343",CRS3035RES1000mN2292000E3985000,"1","83066",29,12.2,1.9,3.1,0.6,9.7,1.9,648904.6,1127.9,2.7,9.5,0.5,2.6,0.6,7.7,0.8,0,3.9,1.8,1.9,1.9,0,5.2,5.8,2.7,3.9,1.9,0,"383"
"6344",CRS3035RES1000mN2292000E3986000,"1","83066",26,9.8,1.8,1.8,0.9,7.1,0,511265.4,876.9,0,9.8,1.7,0.9,2.7,4.5,0,0,0.9,0,0,2.7,3.6,3.6,7.2,0.9,5.4,1.7,0,"383"
"6345",CRS3035RES1000mN2292000E3987000,"1","8306683113",3,1.1,0.2,0.2,0.1,0.8,0,58992.2,101.2,0,1.1,0.2,0.1,0.3,0.5,0,0,0.1,0,0,0.3,0.4,0.4,0.9,0.1,0.6,0.2,0,"383"
"6346",CRS3035RES1000mN2292000E3989000,"1","83113",33,16.2,6.1,7.9,1,10,2.4,639863,1261.9,3.1,13.1,4.5,1.1,0.8,9.8,0,0,2.8,1,4.4,1.8,1,12.1,3.5,2.5,3.1,0.8,0,"383"
"6347",CRS3035RES1000mN2292000E3990000,"1","83113",3,1.6,0.2,0.5,0,1.5,0.2,67556.4,124,0,1.6,0,0.1,1.5,0,0,0,0,0.1,0.2,0,0,0.4,0.3,0.9,0.6,0.5,0,"383"
"6348",CRS3035RES1000mN2292000E3991000,"1","8311383146",69.5,37.4,4.8,11.5,1,33.6,3.8,1565057.3,2873,0,37.4,0.9,1,35.5,0,0,0,1,1.9,2.4,1,1,8.6,7.7,20.1,15.3,10.5,0,"383"
"6349",CRS3035RES1000mN2292000E3993000,"1","8314683113",6,2.3,0.3,0.3,0.1,2,0.3,133294,228.6,0.4,1.9,0.7,0,1,0.6,0,0,0.4,0,0.4,0.3,0.3,1,1.4,0.7,1.3,0.2,0,"383"
"6350",CRS3035RES1000mN2292000E4001000,"1","83084",3,2,0.8,1.3,0,0.7,0.3,51840.6,164.7,0.2,1.8,0.5,0.1,0.4,0.8,0.2,0,0,0,0.1,0,0.3,0.6,0.4,0.6,0.7,0.3,0,"383"
"6351",CRS3035RES1000mN2292000E4006000,"0","8310283005",51.5,26.9,5.1,7,0,24,3,1245247,3311.1,1,25.9,0,0,8,17.8,1.1,0,0.9,1.1,0,0.4,1.9,5.1,2,15.1,25,0,0,"383"
"6352",CRS3035RES1000mN2292000E4007000,"0","8310283005",26,14,2,5,0,13,0,584718.2,1553,0,14,0,0,4,9,1,0,0,0,0,0,1,0,3,8,10,4,0,"383"
"6353",CRS3035RES1000mN2292000E4008000,"0","8310283005",162,83,10,22,1.9,75,2,3643658.2,7405.9,1.1,81.9,0,0,29.1,51.9,2,0,1,1.1,1.1,3.9,6,9,22,26.1,77.9,13.9,0,"383"
"6354",CRS3035RES1000mN2292000E4009000,"1","8310283005",26,11.8,1.4,4.4,1.4,11.2,0,594294.1,1785,0,11.8,3.7,0,0,7.4,0.7,0,0.8,0,2.3,0,1.4,1.4,5.2,5.9,9,0,0,"383"
"6355",CRS3035RES1000mN2292000E4055000,"1","83080",181.5,93.8,24.3,44.2,2.7,62.7,10,3670128.2,7688.6,21.1,72.7,58.4,11.8,7.5,15.5,0.6,0,7.5,4.2,8.2,8.5,16.9,22.8,36.5,24.9,38.5,13.5,0,"183"
"6356",CRS3035RES1000mN2292000E4056000,"0","83080",35,21.9,7,13.1,0,20.1,0,721567,2061.8,0,21.9,2.9,1.8,10.2,7,0,0,0,0,0,0,3.8,2.3,4.7,4.7,16.3,3.2,0,"183"
"6357",CRS3035RES1000mN2292000E4057000,"0","83080",41.5,22,2.9,6,0,19,2.9,1013822.3,1792.1,12,10,0,0,16,6,0,0,1.1,0,1.1,0.5,1.9,8.9,8,7,9,4,0,"183"
"6358",CRS3035RES1000mN2292000E4063000,"1","06130",5,2.2,0.6,1,0.1,1.1,0.1,107197.6,182,0,2.2,0.7,0.1,0.5,0.9,0,0,0.3,0,0.3,0.6,0.1,0.5,1.1,0.5,1.6,0,0,"106"
"6359",CRS3035RES1000mN2292000E4064000,"1","06130",2,0.7,0.1,0.1,0.1,0.6,0,53879.6,81.6,0,0.7,0.1,0,0.3,0.3,0,0,0,0.1,0.1,0.3,0.2,0.2,0.4,0.3,0.3,0.1,0,"106"
"6360",CRS3035RES1000mN2292000E4065000,"0","06130",410,153,8,27,10,120.1,16.1,11256520.2,16299.8,12.1,140.9,1,8.2,55.8,85,3,14,10,6.1,30.5,52.5,33.1,38,120,62,49.9,7.9,0,"106"
"6361",CRS3035RES1000mN2292000E4066000,"0","06130",1054,415,34,101,31,301.9,39,27751320.7,42314.9,103.1,311.9,35,38.1,146.9,193,2,32,44.5,19,68.4,116.5,72.5,156,231.1,132,160,54,0,"106"
"6362",CRS3035RES1000mN2292000E4067000,"0","06130",463,177,11,32.1,9,144,16.9,11855273,15764.9,14,163,5.8,14.1,48,109.1,0,0,20.1,9.9,28.5,54.9,34.5,61,115,71.1,51,16,1,"106"
"6363",CRS3035RES1000mN2292000E4068000,"1","06130",102,40,0.9,7.4,3.8,33.5,1,3047007.2,3923.1,4.5,35.5,0.9,0,24.6,14.5,0,0,0.9,1.7,2,12.2,4.8,13,15.1,27.4,19.1,5.8,0,"106"
"6364",CRS3035RES1000mN2292000E4071000,"1","060690613006010",11,6.3,2.6,3.3,0.2,3.5,0.9,195976.2,491,0,6.3,3,0.2,1.4,1.7,0,0,0.2,0,0,0.9,0.7,1.4,2.1,1.5,4,0.2,0,"106"
"6365",CRS3035RES1000mN2292000E4076000,"0","06010",125,52.9,4.1,14.9,3.1,38,6.1,3009266.8,5826.1,14.8,38.1,4.1,13.1,21.8,13.9,0,0,5.1,5.8,9.9,8.1,5.9,25.1,15.1,16,22,12,0,"106"
"6366",CRS3035RES1000mN2292000E4077000,"0","06010",1494,623,91,193,49.2,396,79.2,36082897.7,48703.2,372,251,124,81,95,320,3,29,52.1,36.4,106.5,132.5,118.4,232,333.9,206,207,69.2,0,"106"
"6367",CRS3035RES1000mN2292000E4078000,"0","060100614806112",279.5,108.8,8,27,10,86.8,6,8123757,12066.2,15.8,93,5,18.9,39,45.9,0,0,17.1,3,20,23.1,15.5,35.9,76.8,38,40.2,9.9,0,"106"
"6368",CRS3035RES1000mN2292000E4079000,"0","061480611206010",220.5,87.1,10.7,17.9,9,76.1,7.1,6020378.7,9333.9,8.1,79,7.1,16.9,43,20.1,0,0,5.1,0.9,8.9,21.5,15.1,30.8,45.9,31.3,41.8,19.2,0,"106"
"6369",CRS3035RES1000mN2292000E4080000,"1","06148060100611206105",33,15.3,2.7,6.2,0,9.9,0,839731.3,1180.9,8.1,7.2,2.7,0.8,5.4,6.4,0,0,0.8,1.5,2,2,2,7.1,7.1,7.8,2.7,0,0,"106"
"6370",CRS3035RES1000mN2292000E4082000,"0","0614806105",41.5,17,3.1,2,0,16,1,1230250.3,2198.1,2,15,0,0,10,6,1,0,1,1,0,0.4,3.1,6.9,9.1,7.9,8,4.1,0,"106"
"6371",CRS3035RES1000mN2292000E4083000,"0","0614806105",81,32,3,3,1,28,2,2628189.2,4384,0,32,0,0,7,25,0,0,0,0,2.9,4,6.9,8.1,11.1,31.1,11.9,5,0,"106"
"6372",CRS3035RES1000mN2292000E4085000,"1","060440615706148",16.5,7.8,1.5,1.8,0,4.8,0.6,524754.8,1078.6,2.4,5.4,0,0.4,2.9,4.5,0,0,0.4,0,0,1,2.1,1.5,4.6,3.3,3,0.6,0,"106"
"6373",CRS3035RES1000mN2292000E4086000,"0","060440612806157",124,64,12.6,22.9,0,46.2,5,4209747.1,14265.6,0,64,0,6.6,45,12.4,0,0,0.9,0,5.1,4.1,7,5.6,14.1,22.9,44.1,20.2,0,"106"
"6374",CRS3035RES1000mN2292000E4087000,"0","0612806044",285.5,120.8,11.1,34.1,8.1,92,12.1,10035839.1,19264.1,13.7,107.1,9.7,38.1,38.7,33.3,1,0,8.1,0.7,14.3,31.3,15.9,31.9,56.3,41.1,61,24.1,0.8,"106"
"6375",CRS3035RES1000mN2292000E4088000,"0","0612806157",324.5,155.8,24.9,61.9,8,87.1,12,9641039.5,15736,62,93.8,47,28.2,28.8,48.9,2.9,3,9.8,7.8,11.5,16.4,15.1,37.1,67.9,51.8,89,16.1,2,"106"
"6376",CRS3035RES1000mN2292000E4089000,"0","06157061280602706065",569.5,214.9,20,45.1,21.1,169.1,18.2,17880631.6,26139,44.8,170.1,22.3,28.1,74.8,89.7,0,0,15,5.4,33.7,60.4,46.2,57.1,128.2,74.7,101.9,46.9,0,"106"
"6377",CRS3035RES1000mN2292000E4090000,"0","060650602706157",295.5,118.9,14.9,28.2,11.9,92,8.1,8066074.6,13344.9,26.7,92.2,8.8,24.8,45,39.5,0.8,0,6.7,5.1,11.3,22.9,19.1,33.4,54.9,46,75,21.1,0,"106"
"6378",CRS3035RES1000mN2292000E4091000,"0","06065",683.5,256.1,14.1,37.1,12.1,222,27.4,20365660.3,24249,72,184.1,0,2.7,115,135.2,3.2,0,32.2,23.9,37.6,60.3,49.8,112.9,152.1,99.8,95.9,19,0,"106"
"6379",CRS3035RES1000mN2292000E4092000,"0","0612306065",835,348.2,26,79.8,18,261,33.1,25192584.9,35878,105,243.2,10.1,25.1,136,171,6,0,23.6,6.3,40.4,49.5,62.1,118,151.2,181,157.9,45,0,"106"
"6380",CRS3035RES1000mN2292000E4093000,"0","0612306088",226.5,84.9,7.9,18.9,6.8,65.9,8,6353108.9,8284.2,15,69.9,9.1,7.9,8.7,56,3.2,0,2.4,1.4,15.7,23.6,24.1,14.8,60.2,46.2,28,10.1,0,"106"
"6381",CRS3035RES1000mN2292000E4093000,"0","0612306088",226.5,84.9,7.9,18.9,6.8,65.9,8,6353108.9,8284.2,15,69.9,9.1,7.9,8.7,56,3.2,0,2.4,1.4,15.7,23.6,24.1,14.8,60.2,46.2,28,10.1,0,"206"
"6382",CRS3035RES1000mN2292000E4094000,"0","06088",293.5,114,6.9,25.1,7.1,82.8,9.9,9188840.3,12106.9,31.9,82.1,27,11.1,32.9,43,0,0,9,1.9,17,21.3,25.1,33.1,56.9,54.2,51.1,23.9,0,"206"
"6383",CRS3035RES1000mN2292000E4095000,"0","06088",1634,664,56,182,46.1,499.9,58,52325856.4,60880.1,351,313,51.9,32,173.1,406,1,0,71.1,28.1,111.6,149.4,111,239,383.8,226.9,240.9,72.2,0,"206"
"6384",CRS3035RES1000mN2292000E4096000,"0","06088",2215,974.9,149.9,307,42.1,631.9,82.1,60559611.9,70625,689.1,285.8,67.9,44.1,223,638.9,1,130,98,53.6,132.5,179,132,410,440.9,322.1,354.9,92,0,"206"
"6385",CRS3035RES1000mN2292000E4097000,"0","06088",6045,2697,565,1046,185,1301,376,122478715.7,169951,2409,288,295,1014,830,555,3,525,317,148.5,384.5,508,449,1156,1167,719,839,354,3,"206"
"6386",CRS3035RES1000mN2292000E4098000,"0","06088",5658,2775,442,1110.9,94,1736,294.9,147661996.5,189432,2526,249,579,993,552,650,1,36,228,118,268,373.4,360.5,1060.1,1111.1,720,983,435.9,0,"206"
"6387",CRS3035RES1000mN2292000E4099000,"0","06088",22160,11588,2777,5888,550,4653,1411,455700640.1,651575,11458,130,5576,3277,1209,1509,17,652,956.5,487,1165,1550.5,1482,4509.5,4466,2587,3256,1668,32.5,"206"
"6388",CRS3035RES1000mN2292000E4100000,"0","06088",16928.5,8821,1812,4337,357,4009,1113,412633087.7,587269,8648,173,5638,1972,522,685,4,322,610.5,326,833.5,1274.5,1250,3152,3495,2020,2696,1249,22,"206"
"6389",CRS3035RES1000mN2292000E4101000,"0","06088",18274.5,9885,1899,4998,316,4187,1233,401801077.5,563019,9779,106,4175,2112,1517,2014,67,778,703,344.5,842,1204,1204,3738,3475,2231.5,2909,1609,14.5,"206"
"6390",CRS3035RES1000mN2292000E4102000,"0","0608806159",13358,7136,1268,3510,233,3155,839,304301300.9,407103,6916,220,1733,1899,1214,2261,29,594,583,271.5,686,876.5,810.5,2795,2540,1666.5,2092,1032,5,"206"
"6391",CRS3035RES1000mN2292000E4103000,"0","0615906088",3485,1781,275,764,38,949,220,97058472.5,131270,1550,231,606,682,240,252,1,50,132,70.5,161.5,208,197,538,670,501,668,337,2,"206"
"6392",CRS3035RES1000mN2292000E4104000,"0","0615906011",462.5,240.8,31.3,95,4.9,141.2,25.9,14165363,20010.9,185.8,55,61.1,81.8,80.9,17,0,0,9,7.4,19.4,25.5,27.8,53.9,101.9,82.9,100.8,33.9,0,"206"
"6393",CRS3035RES1000mN2292000E4105000,"0","0601106159",3407.5,1760.1,280.1,779.9,43.9,818.9,222,87319918.9,112947,1681,79.1,509.9,575,304.1,371.1,0,70,109.8,53.5,175.1,257.5,183.6,518,709.9,443.9,606.1,350.1,0,"206"
"6394",CRS3035RES1000mN2293000E3873000,"1","3025813004",4,1.9,0.4,1,0.1,1.2,0,94530.4,150.8,0.6,1.3,1.2,0.1,0.4,0.2,0,0,0.3,0.1,0,0.2,0.3,0.7,0.4,0.9,0.9,0.2,0,"213"
"6395",CRS3035RES1000mN2293000E3874000,"1","1300430258",1,0.5,0.1,0.3,0,0.3,0,23632.6,37.7,0.2,0.3,0.3,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0.2,0.1,0.2,0.2,0.1,0,"213"
"6396",CRS3035RES1000mN2293000E3875000,"1","13004",10,4.8,1.1,2.6,0.4,3,0,236326,377,1.5,3.3,2.9,0.4,1.1,0.4,0,0,0.7,0.4,0,0.4,0.7,1.9,1.1,2.2,2.2,0.4,0,"213"
"6397",CRS3035RES1000mN2293000E3881000,"1","13004",2,1.2,0.2,0.5,0,0.5,0.4,45440.8,146.3,0.3,0.9,0.8,0.1,0,0.1,0.2,0,0.2,0,0.1,0.3,0.1,0.3,0.4,0.1,0.4,0.1,0,"213"
"6398",CRS3035RES1000mN2293000E3882000,"1","13004",4,2.3,0.4,1.1,0,1,0.8,90881.7,292.6,0.5,1.8,1.6,0.2,0,0.1,0.4,0,0.4,0,0.2,0.5,0.2,0.6,0.9,0.1,0.9,0.2,0,"213"
"6399",CRS3035RES1000mN2293000E3884000,"1","13004",10,4,0.3,1.1,0.2,3,0.2,246128.8,488,0,4,1.6,0,0.2,2.2,0,0,0.2,0.2,1,1.7,0.2,1,3,0.8,0.8,1.1,0,"213"
"6400",CRS3035RES1000mN2293000E3885000,"1","13004",93,38.7,8.5,13.7,1.9,24.6,1.9,2052976.5,3955.2,3,35.7,14.3,0,2.9,18.5,3,0,2.7,1.9,12.7,8.4,3.5,16.1,21.6,13.2,7.2,5.7,0,"213"
"6401",CRS3035RES1000mN2293000E3886000,"1","13004",1,0.4,0.1,0.1,0,0.1,0,27971,45.3,0,0.4,0.4,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0,0,"213"
"6402",CRS3035RES1000mN2293000E3887000,"1","13004",6,2.3,0.6,0.8,0.2,0.7,0.1,167825.9,271.8,0,2.3,2.1,0,0,0.2,0,0,0.4,0,0.4,0.4,0.5,1.4,1.4,0.7,0.8,0,0,"213"
"6403",CRS3035RES1000mN2293000E3888000,"1","13004",2,1,0.5,0.4,0,0.3,0,34700.6,104.3,0,1,0.7,0,0.1,0.2,0,0,0.1,0,0.2,0.1,0.1,0.4,0.5,0.2,0.3,0.1,0,"213"
"6404",CRS3035RES1000mN2293000E3890000,"1","13004",5,2.4,1.1,1,0,0.6,0,86751.4,260.6,0,2.4,1.6,0,0.3,0.5,0,0,0.1,0,0.6,0.2,0.2,1,1.3,0.6,0.8,0.2,0,"213"
"6405",CRS3035RES1000mN2293000E3892000,"1","13004",5,1.9,0.7,0.4,0.2,0.9,0,92740,167.3,0.5,1.4,0.5,0.3,0.7,0.4,0,0,0.2,0.1,0.2,0.4,0.4,1.2,0.8,1.2,0.3,0.2,0,"213"
"6406",CRS3035RES1000mN2293000E3893000,"1","13004",9,3.4,1.2,0.7,0.4,1.7,0,166932,301.2,0.9,2.5,0.9,0.5,1.2,0.8,0,0,0.4,0.2,0.3,0.8,0.8,2.1,1.4,2.1,0.5,0.4,0,"213"
"6407",CRS3035RES1000mN2293000E3894000,"1","13004",8,3,1.1,0.7,0.3,1.5,0,148384,267.7,0.8,2.2,0.8,0.5,1.1,0.6,0,0,0.3,0.2,0.3,0.6,0.7,1.9,1.3,1.9,0.5,0.3,0,"213"
"6408",CRS3035RES1000mN2293000E3895000,"1","13004",6,2.3,0.8,0.5,0.3,1.1,0,111288,200.8,0.6,1.7,0.6,0.4,0.8,0.5,0,0,0.3,0.2,0.2,0.5,0.5,1.4,0.9,1.4,0.3,0.3,0,"213"
"6409",CRS3035RES1000mN2293000E3896000,"1","1300413097",1,0.3,0,0.1,0.1,0.1,0,26535.8,37.9,0.1,0.2,0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,0.2,0.1,0.3,0.1,0.1,0,0,"213"
"6410",CRS3035RES1000mN2293000E3899000,"1","13097",11,3.8,0.2,0.7,0.7,1.5,0,291894,416.5,1,2.8,0.7,0.1,1,1.7,0.3,0,0.1,0.5,1,0.7,2,1.7,3.3,1,0.7,0,0,"213"
"6411",CRS3035RES1000mN2293000E3900000,"1","13097",32.5,14.1,0.7,5.8,1.4,5.8,0.7,1030237.7,1517.5,1.8,12.3,5.1,1.1,3.2,3.3,1.4,0,1.8,1.2,0.7,1,1.3,8.3,7.1,7.1,3.3,0.7,0,"213"
"6412",CRS3035RES1000mN2293000E3901000,"1","13097",3,1.3,0.1,0.5,0.1,0.5,0.1,95098.9,140.1,0.2,1.1,0.5,0.1,0.3,0.3,0.1,0,0.2,0.1,0.1,0.1,0.1,0.8,0.6,0.6,0.3,0.1,0,"213"
"6413",CRS3035RES1000mN2293000E3903000,"1","13097",4,1.7,0.1,0.7,0.2,0.7,0.1,126798.5,186.8,0.2,1.5,0.6,0.1,0.4,0.4,0.2,0,0.2,0.1,0.1,0.1,0.2,1,0.9,0.9,0.4,0.1,0,"213"
"6414",CRS3035RES1000mN2293000E3904000,"1","13097",2,0.9,0.1,0.3,0,0.1,0,47969.8,90.6,0,0.9,0.5,0,0,0.3,0.1,0,0.1,0,0.1,0.2,0.2,0.1,0.6,0.3,0.4,0,0,"213"
"6415",CRS3035RES1000mN2293000E3906000,"1","13097",2,0.9,0.1,0.3,0,0.1,0,47969.8,90.6,0,0.9,0.5,0,0,0.3,0.1,0,0.1,0,0.1,0.2,0.2,0.1,0.6,0.3,0.4,0,0,"213"
"6416",CRS3035RES1000mN2293000E3908000,"1","13097",23,11.2,1.3,3.3,0,0.7,1.3,589411.9,918.7,6.6,4.6,8.6,0,0,2.6,0,0,1.3,0,0,0,2,4.6,4.6,5.2,4.6,0.7,0,"213"
"6417",CRS3035RES1000mN2293000E3909000,"1","13097",5,2.5,0.3,0.7,0,0.2,0.3,128133,199.7,1.5,1,1.9,0,0,0.6,0,0,0.3,0,0,0,0.4,1,1,1.1,1,0.2,0,"213"
"6418",CRS3035RES1000mN2293000E3912000,"1","1309713047",19.5,7.9,2.2,2.2,0.7,0,0.7,364520.2,790.8,2.9,5,3.6,0.7,0,2.2,1.4,0,1.4,0,1.8,1.1,0,5.8,5.8,2.2,1.4,0,0,"213"
"6419",CRS3035RES1000mN2293000E3912000,"1","1309713047",19.5,7.9,2.2,2.2,0.7,0,0.7,364520.2,790.8,2.9,5,3.6,0.7,0,2.2,1.4,0,1.4,0,1.8,1.1,0,5.8,5.8,2.2,1.4,0,0,"413"
"6420",CRS3035RES1000mN2293000E3915000,"1","1310313097",2,0.8,0.2,0.2,0.1,0,0.1,37386.7,81.1,0.3,0.5,0.4,0.1,0,0.2,0.1,0,0.1,0,0.2,0.1,0,0.6,0.6,0.2,0.2,0,0,"113"
"6421",CRS3035RES1000mN2293000E3915000,"1","1310313097",2,0.8,0.2,0.2,0.1,0,0.1,37386.7,81.1,0.3,0.5,0.4,0.1,0,0.2,0.1,0,0.1,0,0.2,0.1,0,0.6,0.6,0.2,0.2,0,0,"213"
"6422",CRS3035RES1000mN2293000E3917000,"1","1310313044",4,1.6,0.3,0.4,0.1,0.7,0.1,105295.9,170.7,0.3,1.3,0.7,0.2,0.3,0.3,0.1,0,0.2,0.3,0.4,0.2,0.3,0.5,0.7,0.7,0.7,0,0,"113"
"6423",CRS3035RES1000mN2293000E3918000,"1","13044",3,1.3,0.1,0.6,0.1,0.9,0,75697,131.6,0.1,1.2,0.5,0.1,0.4,0.2,0.1,0,0.1,0.1,0.1,0.1,0.3,0.7,0.3,0.5,0.6,0.2,0,"113"
"6424",CRS3035RES1000mN2293000E3919000,"1","1304413103",44,18.8,1.6,8.1,0.8,13.4,0,1110222.8,1929.9,1.7,17.1,8.2,0.8,5.3,2.8,1.7,0,1.6,1.6,2.1,0.9,4.4,10,4.4,7.2,9,2.8,0,"113"
"6425",CRS3035RES1000mN2293000E3920000,"0","1304413103",137.5,51.1,3.9,9,5.1,36.1,8,3675034.5,4627.9,8.2,42.9,8.2,1,6,34.9,1,0,1.2,3,14,11,9.2,18,36.1,19.9,21.2,3.9,0,"113"
"6426",CRS3035RES1000mN2293000E3921000,"0","1310313044",225,83.8,10.1,15,7.1,68.1,11.1,5885402.6,8806,7.9,75.9,18.1,2,9.1,50.8,3.8,0,9,8.1,12.4,23.4,21.1,28,53,33.1,30.9,6,0,"113"
